WVLS(um),SZA,H(km)|(-m),Dif_Down,Dir_Down,TotalDown,Total_Up,Up/Down,,,,,,,,
0.3,66.8,0,1.23E-02,1.42E-04,1.24E-02,7.48E-04,0.0602,,,,,,,,
0.305,66.8,0,1.20E+00,3.10E-02,1.23E+00,8.63E-02,0.0704,,,,,,,,
0.31,66.8,0,5.86E+00,2.05E-01,6.07E+00,4.54E-01,0.0748,,,,,,,,
0.315,66.8,0,3.52E+01,1.46E+00,3.67E+01,2.84E+00,0.0773,,,,,,,,
0.32,66.8,0,5.18E+01,2.48E+00,5.42E+01,4.31E+00,0.0794,,,,,,,,
0.325,66.8,0,7.38E+01,4.01E+00,7.78E+01,6.33E+00,0.0814,,,,,,,,
0.33,66.8,0,1.62E+02,9.86E+00,1.72E+02,1.43E+01,0.0835,,,,,,,,
0.335,66.8,0,1.27E+02,8.72E+00,1.36E+02,1.16E+01,0.0853,,,,,,,,
0.34,66.8,0,1.70E+02,1.32E+01,1.83E+02,1.60E+01,0.0872,,,,,,,,
0.345,66.8,0,1.59E+02,1.37E+01,1.72E+02,1.53E+01,0.0891,,,,,,,,
0.35,66.8,0,1.74E+02,1.67E+01,1.91E+02,1.74E+01,0.091,,,,,,,,
0.355,66.8,0,1.64E+02,1.74E+01,1.82E+02,1.69E+01,0.0928,,,,,,,,
0.36,66.8,0,1.68E+02,1.95E+01,1.88E+02,1.78E+01,0.0948,,,,,,,,
0.365,66.8,0,1.77E+02,2.23E+01,1.99E+02,1.93E+01,0.097,,,,,,,,
0.37,66.8,0,1.86E+02,2.54E+01,2.11E+02,2.10E+01,0.0992,,,,,,,,
0.375,66.8,0,1.60E+02,2.36E+01,1.84E+02,1.87E+01,0.1017,,,,,,,,
0.38,66.8,0,1.76E+02,2.79E+01,2.04E+02,2.12E+01,0.1043,,,,,,,,
0.385,66.8,0,1.60E+02,2.72E+01,1.87E+02,1.98E+01,0.1057,,,,,,,,
0.39,66.8,0,2.19E+02,3.99E+01,2.59E+02,2.77E+01,0.107,,,,,,,,
0.395,66.8,0,2.21E+02,4.28E+01,2.64E+02,2.86E+01,0.1082,,,,,,,,
0.4,66.8,0,2.66E+02,5.47E+01,3.21E+02,3.51E+01,0.1094,,,,,,,,
0.405,66.8,0,2.66E+02,5.80E+01,3.24E+02,3.54E+01,0.1093,,,,,,,,
0.41,66.8,0,2.55E+02,5.87E+01,3.14E+02,3.42E+01,0.1092,,,,,,,,
0.415,66.8,0,2.82E+02,6.84E+01,3.51E+02,3.84E+01,0.1095,,,,,,,,
0.42,66.8,0,2.83E+02,7.22E+01,3.55E+02,3.90E+01,0.1097,,,,,,,,
0.425,66.8,0,2.85E+02,7.64E+01,3.62E+02,3.98E+01,0.1101,,,,,,,,
0.43,66.8,0,2.07E+02,5.79E+01,2.65E+02,2.92E+01,0.1105,,,,,,,,
0.435,66.8,0,2.77E+02,8.12E+01,3.58E+02,3.96E+01,0.1107,,,,,,,,
0.44,66.8,0,2.94E+02,9.02E+01,3.84E+02,4.26E+01,0.1109,,,,,,,,
0.445,66.8,0,3.15E+02,1.01E+02,4.16E+02,4.65E+01,0.1118,,,,,,,,
0.45,66.8,0,3.47E+02,1.16E+02,4.62E+02,5.21E+01,0.1126,,,,,,,,
0.455,66.8,0,3.31E+02,1.15E+02,4.46E+02,5.02E+01,0.1127,,,,,,,,
0.46,66.8,0,3.35E+02,1.21E+02,4.55E+02,5.14E+01,0.1129,,,,,,,,
0.465,66.8,0,3.32E+02,1.24E+02,4.56E+02,5.18E+01,0.1135,,,,,,,,
0.47,66.8,0,3.16E+02,1.22E+02,4.38E+02,5.00E+01,0.1141,,,,,,,,
0.475,66.8,0,3.31E+02,1.33E+02,4.63E+02,5.29E+01,0.1142,,,,,,,,
0.48,66.8,0,3.32E+02,1.38E+02,4.69E+02,5.37E+01,0.1144,,,,,,,,
0.485,66.8,0,3.11E+02,1.33E+02,4.44E+02,5.09E+01,0.1145,,,,,,,,
0.49,66.8,0,3.24E+02,1.43E+02,4.67E+02,5.35E+01,0.1145,,,,,,,,
0.495,66.8,0,3.23E+02,1.47E+02,4.70E+02,5.34E+01,0.1137,,,,,,,,
0.5,66.8,0,3.09E+02,1.45E+02,4.55E+02,5.13E+01,0.1129,,,,,,,,
0.505,66.8,0,3.06E+02,1.48E+02,4.54E+02,5.04E+01,0.1112,,,,,,,,
0.51,66.8,0,3.04E+02,1.52E+02,4.56E+02,5.01E+01,0.1099,,,,,,,,
0.515,66.8,0,3.00E+02,1.53E+02,4.53E+02,4.95E+01,0.1092,,,,,,,,
0.52,66.8,0,2.86E+02,1.51E+02,4.37E+02,4.78E+01,0.1094,,,,,,,,
0.525,66.8,0,3.03E+02,1.64E+02,4.67E+02,5.11E+01,0.1095,,,,,,,,
0.53,66.8,0,2.95E+02,1.64E+02,4.58E+02,5.01E+01,0.1094,,,,,,,,
0.535,66.8,0,2.91E+02,1.66E+02,4.57E+02,4.99E+01,0.1093,,,,,,,,
0.54,66.8,0,2.69E+02,1.57E+02,4.26E+02,4.66E+01,0.1093,,,,,,,,
0.545,66.8,0,2.82E+02,1.69E+02,4.52E+02,4.91E+01,0.1088,,,,,,,,
0.55,66.8,0,2.78E+02,1.71E+02,4.49E+02,4.85E+01,0.1081,,,,,,,,
0.555,66.8,0,2.79E+02,1.75E+02,4.54E+02,4.90E+01,0.1079,,,,,,,,
0.56,66.8,0,2.65E+02,1.70E+02,4.34E+02,4.68E+01,0.1078,,,,,,,,
0.565,66.8,0,2.60E+02,1.70E+02,4.30E+02,4.62E+01,0.1076,,,,,,,,
0.57,66.8,0,2.44E+02,1.64E+02,4.07E+02,4.34E+01,0.1065,,,,,,,,
0.575,66.8,0,2.46E+02,1.69E+02,4.15E+02,4.40E+01,0.1059,,,,,,,,
0.58,66.8,0,2.49E+02,1.74E+02,4.23E+02,4.46E+01,0.1053,,,,,,,,
0.585,66.8,0,2.52E+02,1.79E+02,4.31E+02,4.51E+01,0.1046,,,,,,,,
0.59,66.8,0,2.10E+02,1.53E+02,3.64E+02,3.73E+01,0.1026,,,,,,,,
0.595,66.8,0,2.22E+02,1.65E+02,3.87E+02,3.95E+01,0.1022,,,,,,,,
0.6,66.8,0,2.36E+02,1.78E+02,4.14E+02,4.25E+01,0.1025,,,,,,,,
0.605,66.8,0,2.43E+02,1.85E+02,4.28E+02,4.40E+01,0.1027,,,,,,,,
0.61,66.8,0,2.37E+02,1.84E+02,4.21E+02,4.32E+01,0.1028,,,,,,,,
0.615,66.8,0,2.37E+02,1.87E+02,4.24E+02,4.36E+01,0.1029,,,,,,,,
0.62,66.8,0,2.36E+02,1.90E+02,4.26E+02,4.38E+01,0.1029,,,,,,,,
0.625,66.8,0,2.23E+02,1.83E+02,4.06E+02,4.18E+01,0.1029,,,,,,,,
0.63,66.8,0,2.17E+02,1.81E+02,3.98E+02,4.09E+01,0.1026,,,,,,,,
0.635,66.8,0,2.23E+02,1.89E+02,4.12E+02,4.24E+01,0.1029,,,,,,,,
0.64,66.8,0,2.25E+02,1.94E+02,4.19E+02,4.33E+01,0.1032,,,,,,,,
0.645,66.8,0,2.23E+02,1.95E+02,4.18E+02,4.31E+01,0.1031,,,,,,,,
0.65,66.8,0,2.12E+02,1.89E+02,4.02E+02,4.14E+01,0.1029,,,,,,,,
0.655,66.8,0,2.02E+02,1.83E+02,3.84E+02,3.95E+01,0.1027,,,,,,,,
0.66,66.8,0,2.17E+02,1.99E+02,4.16E+02,4.29E+01,0.1032,,,,,,,,
0.665,66.8,0,2.18E+02,2.03E+02,4.21E+02,4.36E+01,0.1035,,,,,,,,
0.67,66.8,0,2.16E+02,2.03E+02,4.19E+02,4.35E+01,0.1036,,,,,,,,
0.675,66.8,0,2.14E+02,2.04E+02,4.17E+02,4.33E+01,0.1037,,,,,,,,
0.68,66.8,0,2.11E+02,2.04E+02,4.15E+02,4.31E+01,0.1038,,,,,,,,
0.685,66.8,0,2.04E+02,2.01E+02,4.05E+02,4.20E+01,0.1038,,,,,,,,
0.69,66.8,0,1.70E+02,1.71E+02,3.40E+02,3.50E+01,0.1029,,,,,,,,
0.695,66.8,0,1.73E+02,1.76E+02,3.49E+02,3.57E+01,0.1024,,,,,,,,
0.7,66.8,0,1.72E+02,1.78E+02,3.49E+02,3.58E+01,0.1025,,,,,,,,
0.705,66.8,0,1.78E+02,1.86E+02,3.63E+02,3.74E+01,0.1028,,,,,,,,
0.71,66.8,0,1.77E+02,1.87E+02,3.65E+02,3.75E+01,0.1029,,,,,,,,
0.715,66.8,0,1.73E+02,1.85E+02,3.58E+02,3.68E+01,0.1028,,,,,,,,
0.72,66.8,0,1.11E+02,1.21E+02,2.32E+02,2.29E+01,0.0988,,,,,,,,
0.725,66.8,0,1.33E+02,1.47E+02,2.80E+02,2.82E+01,0.1006,,,,,,,,
0.73,66.8,0,1.35E+02,1.51E+02,2.86E+02,2.89E+01,0.1011,,,,,,,,
0.735,66.8,0,1.62E+02,1.81E+02,3.43E+02,3.53E+01,0.1029,,,,,,,,
0.74,66.8,0,1.65E+02,1.86E+02,3.51E+02,3.64E+01,0.1035,,,,,,,,
0.745,66.8,0,1.74E+02,1.98E+02,3.72E+02,3.88E+01,0.1041,,,,,,,,
0.75,66.8,0,1.73E+02,1.98E+02,3.71E+02,3.87E+01,0.1042,,,,,,,,
0.755,66.8,0,1.72E+02,1.99E+02,3.71E+02,3.87E+01,0.1043,,,,,,,,
0.76,66.8,0,3.09E+01,3.73E+01,6.82E+01,6.52E+00,0.0957,,,,,,,,
0.765,66.8,0,8.72E+01,1.06E+02,1.93E+02,1.95E+01,0.1009,,,,,,,,
0.77,66.8,0,1.61E+02,1.92E+02,3.53E+02,3.68E+01,0.1043,,,,,,,,
0.775,66.8,0,1.62E+02,1.95E+02,3.57E+02,3.73E+01,0.1045,,,,,,,,
0.78,66.8,0,1.60E+02,1.96E+02,3.56E+02,3.72E+01,0.1045,,,,,,,,
0.785,66.8,0,1.58E+02,1.94E+02,3.52E+02,3.68E+01,0.1045,,,,,,,,
0.79,66.8,0,1.43E+02,1.80E+02,3.23E+02,3.35E+01,0.1037,,,,,,,,
0.795,66.8,0,1.44E+02,1.83E+02,3.27E+02,3.41E+01,0.1041,,,,,,,,
0.8,66.8,0,1.40E+02,1.79E+02,3.19E+02,3.31E+01,0.1039,,,,,,,,
0.805,66.8,0,1.41E+02,1.82E+02,3.22E+02,3.36E+01,0.1042,,,,,,,,
0.81,66.8,0,1.37E+02,1.78E+02,3.15E+02,3.27E+01,0.1041,,,,,,,,
0.815,66.8,0,1.14E+02,1.51E+02,2.65E+02,2.72E+01,0.1026,,,,,,,,
0.82,66.8,0,1.14E+02,1.52E+02,2.66E+02,2.74E+01,0.1029,,,,,,,,
0.825,66.8,0,1.25E+02,1.68E+02,2.92E+02,3.03E+01,0.1036,,,,,,,,
0.83,66.8,0,1.19E+02,1.61E+02,2.79E+02,2.89E+01,0.1033,,,,,,,,
0.835,66.8,0,1.25E+02,1.71E+02,2.95E+02,3.07E+01,0.104,,,,,,,,
0.84,66.8,0,1.26E+02,1.74E+02,2.99E+02,3.12E+01,0.1042,,,,,,,,
0.845,66.8,0,1.29E+02,1.79E+02,3.07E+02,3.21E+01,0.1046,,,,,,,,
0.85,66.8,0,1.22E+02,1.71E+02,2.93E+02,3.07E+01,0.1046,,,,,,,,
0.855,66.8,0,1.13E+02,1.59E+02,2.71E+02,2.84E+01,0.1047,,,,,,,,
0.86,66.8,0,1.26E+02,1.79E+02,3.06E+02,3.21E+01,0.105,,,,,,,,
0.865,66.8,0,1.22E+02,1.75E+02,2.97E+02,3.12E+01,0.1051,,,,,,,,
0.87,66.8,0,1.23E+02,1.78E+02,3.02E+02,3.17E+01,0.1051,,,,,,,,
0.875,66.8,0,1.23E+02,1.80E+02,3.03E+02,3.18E+01,0.1051,,,,,,,,
0.88,66.8,0,1.19E+02,1.75E+02,2.94E+02,3.09E+01,0.105,,,,,,,,
0.885,66.8,0,1.17E+02,1.75E+02,2.92E+02,3.07E+01,0.1049,,,,,,,,
0.89,66.8,0,1.15E+02,1.73E+02,2.87E+02,3.01E+01,0.1049,,,,,,,,
0.895,66.8,0,9.20E+01,1.41E+02,2.33E+02,2.40E+01,0.1032,,,,,,,,
0.9,66.8,0,6.39E+01,1.00E+02,1.64E+02,1.65E+01,0.1003,,,,,,,,
0.905,66.8,0,8.44E+01,1.32E+02,2.16E+02,2.23E+01,0.1031,,,,,,,,
0.91,66.8,0,6.11E+01,9.76E+01,1.59E+02,1.60E+01,0.1007,,,,,,,,
0.915,66.8,0,6.20E+01,9.98E+01,1.62E+02,1.63E+01,0.1009,,,,,,,,
0.92,66.8,0,7.95E+01,1.27E+02,2.07E+02,2.14E+01,0.1033,,,,,,,,
0.925,66.8,0,6.96E+01,1.13E+02,1.83E+02,1.87E+01,0.1026,,,,,,,,
0.93,66.8,0,3.87E+01,6.39E+01,1.03E+02,1.00E+01,0.0978,,,,,,,,
0.935,66.8,0,9.53E+00,1.49E+01,2.44E+01,2.17E+00,0.089,,,,,,,,
0.94,66.8,0,3.79E+01,6.40E+01,1.02E+02,9.92E+00,0.0973,,,,,,,,
0.945,66.8,0,2.03E+01,3.40E+01,5.43E+01,5.12E+00,0.0942,,,,,,,,
0.95,66.8,0,2.55E+01,4.33E+01,6.88E+01,6.60E+00,0.0958,,,,,,,,
0.955,66.8,0,2.95E+01,5.07E+01,8.01E+01,7.78E+00,0.097,,,,,,,,
0.96,66.8,0,3.96E+01,6.88E+01,1.08E+02,1.07E+01,0.0989,,,,,,,,
0.965,66.8,0,4.67E+01,8.19E+01,1.29E+02,1.29E+01,0.1002,,,,,,,,
0.97,66.8,0,6.95E+01,1.21E+02,1.90E+02,1.97E+01,0.1035,,,,,,,,
0.975,66.8,0,5.66E+01,1.00E+02,1.57E+02,1.60E+01,0.102,,,,,,,,
0.98,66.8,0,7.20E+01,1.27E+02,1.99E+02,2.07E+01,0.1038,,,,,,,,
0.985,66.8,0,7.99E+01,1.42E+02,2.22E+02,2.32E+01,0.1046,,,,,,,,
0.99,66.8,0,8.38E+01,1.50E+02,2.33E+02,2.45E+01,0.1051,,,,,,,,
0.995,66.8,0,8.47E+01,1.52E+02,2.37E+02,2.50E+01,0.1055,,,,,,,,
1,66.8,0,8.25E+01,1.50E+02,2.32E+02,2.44E+01,0.1053,,,,,,,,
1.005,66.8,0,8.10E+01,1.48E+02,2.29E+02,2.41E+01,0.1052,,,,,,,,
1.01,66.8,0,7.80E+01,1.44E+02,2.22E+02,2.33E+01,0.105,,,,,,,,
1.015,66.8,0,7.98E+01,1.48E+02,2.28E+02,2.40E+01,0.1053,,,,,,,,
1.02,66.8,0,7.72E+01,1.44E+02,2.21E+02,2.33E+01,0.1053,,,,,,,,
1.025,66.8,0,7.63E+01,1.44E+02,2.20E+02,2.32E+01,0.1053,,,,,,,,
1.03,66.8,0,7.62E+01,1.44E+02,2.20E+02,2.33E+01,0.1055,,,,,,,,
1.035,66.8,0,7.55E+01,1.44E+02,2.19E+02,2.32E+01,0.1056,,,,,,,,
1.04,66.8,0,7.47E+01,1.43E+02,2.18E+02,2.30E+01,0.1055,,,,,,,,
1.045,66.8,0,7.38E+01,1.43E+02,2.17E+02,2.29E+01,0.1055,,,,,,,,
1.05,66.8,0,7.19E+01,1.40E+02,2.12E+02,2.24E+01,0.1054,,,,,,,,
1.055,66.8,0,6.87E+01,1.35E+02,2.04E+02,2.15E+01,0.1053,,,,,,,,
1.06,66.8,0,6.66E+01,1.32E+02,1.99E+02,2.09E+01,0.1052,,,,,,,,
1.065,66.8,0,6.48E+01,1.30E+02,1.95E+02,2.04E+01,0.105,,,,,,,,
1.07,66.8,0,6.35E+01,1.28E+02,1.92E+02,2.01E+01,0.1048,,,,,,,,
1.075,66.8,0,6.25E+01,1.27E+02,1.89E+02,1.98E+01,0.1048,,,,,,,,
1.08,66.8,0,5.83E+01,1.19E+02,1.77E+02,1.85E+01,0.1043,,,,,,,,
1.085,66.8,0,5.42E+01,1.11E+02,1.66E+02,1.72E+01,0.104,,,,,,,,
1.09,66.8,0,5.33E+01,1.10E+02,1.64E+02,1.70E+01,0.1039,,,,,,,,
1.095,66.8,0,4.76E+01,9.93E+01,1.47E+02,1.52E+01,0.1034,,,,,,,,
1.1,66.8,0,3.55E+01,7.57E+01,1.11E+02,1.13E+01,0.1011,,,,,,,,
1.105,66.8,0,3.33E+01,7.15E+01,1.05E+02,1.05E+01,0.1006,,,,,,,,
1.11,66.8,0,3.25E+01,7.03E+01,1.03E+02,1.03E+01,0.1002,,,,,,,,
1.115,66.8,0,1.63E+01,3.53E+01,5.16E+01,4.97E+00,0.0964,,,,,,,,
1.12,66.8,0,3.26E+00,6.32E+00,9.58E+00,8.45E-01,0.0882,,,,,,,,
1.125,66.8,0,2.55E+00,4.80E+00,7.35E+00,6.40E-01,0.0871,,,,,,,,
1.13,66.8,0,7.17E+00,1.52E+01,2.24E+01,2.07E+00,0.0923,,,,,,,,
1.135,66.8,0,1.71E+00,3.09E+00,4.80E+00,4.11E-01,0.0857,,,,,,,,
1.14,66.8,0,1.17E+01,2.57E+01,3.73E+01,3.54E+00,0.0949,,,,,,,,
